2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:231)
2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-07-27 10:28:44.706 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-07-27 10:28:44.706 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:100)
2023-07-27 10:28:44.706 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-07-27 10:28:44.706 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-07-27 10:28:44.706 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
